datetime,qualitystatus,resolutioncode,netregulationvolume,systemimbalance,alpha,marginalincrementalprice,marginaldecrementalprice,strategicreserveprice,positiveimbalanceprice,negativeimbalanceprice
2024-01-02T07:00:00+00:00,Validated,PT15M,-113.541,119.27,0.0,134.26,-132.62,,-132.62,-132.62
2024-01-02T07:15:00+00:00,Validated,PT15M,-63.203,46.246,0.0,111.97,-87.0,,-87.0,-87.0
2024-01-02T07:30:00+00:00,Validated,PT15M,7.879,-23.233,0.0,112.61,-32.88,,112.61,112.61
2024-01-02T07:45:00+00:00,Validated,PT15M,-67.768,52.945,0.0,110.69,-32.88,,-32.88,-32.88
2024-01-02T08:00:00+00:00,Validated,PT15M,-125.507,98.467,0.0,111.47,-32.65,,-32.65,-32.65
2024-01-02T08:15:00+00:00,Validated,PT15M,-6.759,-26.289,0.0,125.0,-87.0,,125.0,125.0
2024-01-02T08:30:00+00:00,Validated,PT15M,-0.291,-14.101,0.0,114.94,-37.83,,114.94,114.94
2024-01-02T08:45:00+00:00,Validated,PT15M,-73.564,60.004,0.0,121.36,-38.43,,-38.43,-38.43
2024-01-02T09:00:00+00:00,Validated,PT15M,43.522,-80.509,0.0,120.83,-37.64,,120.83,120.83
2024-01-02T09:15:00+00:00,Validated,PT15M,184.922,-207.786,1.79,110.0,-33.42,,111.79,111.79
2024-01-02T09:30:00+00:00,Validated,PT15M,8.525,-25.467,0.0,120.38,-39.51,,120.38,120.38
2024-01-02T09:45:00+00:00,Validated,PT15M,-30.287,0.04,0.0,114.77,-34.62,,-34.62,-34.62
2024-01-02T10:00:00+00:00,Validated,PT15M,56.638,-94.926,0.0,127.82,-37.52,,127.82,127.82
2024-01-02T10:15:00+00:00,Validated,PT15M,97.493,-146.902,0.0,136.9,-37.52,,136.9,136.9
2024-01-02T10:30:00+00:00,Validated,PT15M,70.34,-119.028,0.0,134.48,-37.52,,134.48,134.48
2024-01-02T10:45:00+00:00,Validated,PT15M,58.541,-97.513,0.0,128.68,-37.52,,128.68,128.68
2024-01-02T11:00:00+00:00,Validated,PT15M,58.437,-102.31,0.0,174.73,-37.52,,174.73,174.73
2024-01-02T11:15:00+00:00,Validated,PT15M,-2.5,-26.109,0.0,140.4,-37.52,,140.4,140.4
2024-01-02T11:30:00+00:00,Validated,PT15M,-1.622,-29.489,0.0,139.72,-37.52,,139.72,139.72
2024-01-02T11:45:00+00:00,Validated,PT15M,-29.085,3.891,0.0,139.95,-36.56,,-36.56,-36.56
2024-01-02T12:00:00+00:00,Validated,PT15M,-12.657,-21.927,0.0,139.92,-36.28,,139.92,139.92
2024-01-02T12:15:00+00:00,Validated,PT15M,-64.882,32.924,0.0,141.04,-37.19,,-37.19,-37.19
2024-01-02T12:30:00+00:00,Validated,PT15M,-50.58,7.466,0.0,162.62,-38.68,,-38.68,-38.68
2024-01-02T12:45:00+00:00,Validated,PT15M,-136.071,108.083,0.0,138.97,-36.07,,-36.07,-36.07
2024-01-02T13:00:00+00:00,Validated,PT15M,-70.487,46.836,0.0,139.86,-35.74,,-35.74,-35.74
2024-01-02T13:15:00+00:00,Validated,PT15M,-17.703,-15.965,0.0,141.12,-35.99,,141.12,141.12
2024-01-02T13:30:00+00:00,Validated,PT15M,-12.322,-24.52,0.0,185.5,-39.46,,185.5,185.5
2024-01-02T13:45:00+00:00,Validated,PT15M,-94.334,60.753,0.0,141.8,-37.71,,-37.71,-37.71
2024-01-02T14:00:00+00:00,Validated,PT15M,4.302,-36.359,0.0,139.66,-35.49,,139.66,139.66
2024-01-02T14:15:00+00:00,Validated,PT15M,20.029,-45.934,0.0,139.5,-36.24,,139.5,139.5
2024-01-02T14:30:00+00:00,Validated,PT15M,-15.849,-24.463,0.0,139.52,-36.51,,139.52,139.52
2024-01-02T14:45:00+00:00,Validated,PT15M,-48.956,34.185,0.0,140.5,-42.33,,-42.33,-42.33
2024-01-02T15:00:00+00:00,Validated,PT15M,-47.187,45.461,0.0,136.63,-41.13,,-41.13,-41.13
2024-01-02T15:15:00+00:00,Validated,PT15M,-55.742,50.155,0.0,132.24,-37.27,,-37.27,-37.27
2024-01-02T15:30:00+00:00,Validated,PT15M,-37.44,12.693,0.0,139.88,-32.43,,-32.43,-32.43
